username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes
ProperBritish,253613,6,233,7,9,62,44.63,Male,United Kingdom,1992-02-20,,2009-11-01,1900-04-19 03:47:00,8.0,2.0,2652.0
yen_otaku,211766,15,90,13,0,37,73.65,Female,manila,,,2009-07-22,2010-05-12 02:00:00,8.35,2.0,5399.0
kioniel,144049,11,433,5,2,0,166.24,Male,home,1988-01-16,,2009-01-29,2017-05-31 05:57:00,7.84,0.0,9893.0
iLLMaTiCc,2282031,47,80,10,14,151,61.82,Female,,,,2013-03-09,1900-01-07 20:41:00,7.02,0.0,3697.0
Xinil,1,4,230,8,89,60,133.32,Male,California,1985-03-04,,2004-11-05,2018-05-14 18:02:55,7.37,58.0,7920.0
xxhatechasexx,118593,7,31,18,0,29,23.25,Female,socal =),,,2008-11-28,2011-09-06 12:53:00,10.0,0.0,1371.0
helenply,2529849,9,184,6,8,39,41.15,Female,Mexico,1999-08-30,,2013-05-06,1900-05-13 15:25:00,7.19,1.0,2526.0
cfoordddd,61291,5,392,31,0,288,151.61,Unknown,Sydney Australia N.S.W,,,2008-05-17,1900-04-18 00:58:00,7.94,6.0,10027.0
sweetangie,452735,3,432,7,28,10,134.48,Female,Nevada USA,,,2011-02-23,1900-05-13 02:35:00,7.71,3.0,7851.0
detestedlove311,5309,3,29,5,2,20,24.58,Female,"Chicago, IL",1989-09-14,,2007-06-06,2009-11-16 16:48:00,7.73,0.0,1447.0
ihasabucket,18867,6,146,15,25,15,63.02,Male,"San Jose, CA",1984-09-08,,2007-10-26,2015-06-28 01:17:00,7.84,0.0,3758.0
YunYun_Pachina,270169,27,270,16,78,240,66.97,Female,,,,2009-12-15,1900-05-11 18:17:00,6.57,27.0,4195.0
morbid3500,189574,4,37,0,5,4,11.82,Female,,,,2009-06-02,2014-11-10 16:00:00,8.33,0.0,701.0
xTheFallenx,340873,22,655,2,3,212,131.89,Male,somewhere really hot,1993-05-29,,2010-06-13,1900-05-16 03:20:00,8.02,0.0,8508.0
zZKinhoZz,6951406,10,65,3,8,22,73.3,Male,"Camaragibe, Pernambuco",2000-04-04,,2018-02-03,2018-05-17 10:41:00,6.21,4.0,4455.0
SaberWolfKaiNi,5844149,21,183,46,18,190,44.45,Unknown,,,,2016-11-17,2018-05-16 19:20:20,7.72,0.0,2667.0
glittermilk,502599,15,35,2,6,70,17.2,Female,ａｕｓｔｒｉａ。,1994-04-13,,2011-06-23,2012-09-16 06:47:00,7.91,1.0,1004.0
asksam,60375,2,386,1,14,12,156.31,Male,,,,2008-05-14,2017-08-03 06:14:00,7.47,0.0,9267.0
misumimi,844589,11,116,16,1,101,21.77,Unknown,,,,2011-10-30,2017-08-20 06:54:00,7.04,0.0,1327.0
fluffylonewolf,1537661,6,121,11,12,175,27.63,Female,Canada,1989-01-01,,2012-09-24,2016-06-22 13:18:00,8.4,0.0,1602.0
Lithuelle,2637159,3,148,6,1,110,118.16,Female,"Rhineland-Palatinate, Germany",1985-10-19,,2013-05-29,2017-01-12 05:17:00,7.14,282.0,7447.0
scootarski,19539,4,269,10,8,207,62.81,Male,Philadelphia PA,1984-10-12,,2007-10-31,2017-09-25 15:41:00,7.39,0.0,3606.0
Cheek16,406647,2,124,11,2,11,67.3,Male,The Crimson World (England :P),,,2010-11-11,2016-11-14 16:08:00,8.43,17.0,3951.0
bruital-legend,1392629,5,33,1,0,1,36.76,Unknown,,,,2012-07-12,2013-02-21 21:08:00,7.67,0.0,2212.0
Goudarz,463185,3,56,30,11,112,51.28,Male,Shiraz,,,2011-03-19,1900-04-01 12:07:00,8.41,32.0,3058.0
Akihara,82964,17,623,2,12,27,254.2,Female,Romania,1994-08-11,,2008-08-05,2018-05-18 11:27:29,7.46,20.0,15228.0
Tomoki-sama,1933206,10,348,15,28,172,103.18,Male,"SC, Brasil",1996-06-01,,2012-12-22,1900-05-16 22:26:00,8.48,8.0,6255.0
Sakurei,158248,4,621,14,8,64,284.76,Female,"Vienna, Austria",2003-02-10,,2009-03-11,1900-05-12 03:16:00,5.15,66.0,17174.0
Johnny_FBI,212332,12,522,7,0,157,98.18,Male,ROSTOV,,,2009-07-24,2018-05-17 09:25:00,7.6,36.0,6133.0
raickos,363955,25,172,7,0,0,74.55,Male,"Parana, Brasil",1989-08-17,,2010-08-01,2013-08-24 23:48:00,9.45,3.0,4367.0
josh62,3407185,3,33,1,2,0,36.86,Male,"Santa Barbar, California",,,2013-12-14,2016-11-24 01:49:00,7.51,0.0,2207.0
Spike,4918730,5,353,2,2,54,99.66,Female,Salisbury NC,1994-04-16,,2015-10-05,1900-04-24 00:13:00,7.27,10.0,6003.0
Perfection_Freak,183036,15,389,26,27,4,131.97,Female,"Kemerovo, Russia",1992-01-20,,2009-05-16,2018-05-18 06:27:36,7.25,20.0,8141.0
AAA,38501,1,84,4,2,2,23.89,Male,Starlight Breaker,1991-05-16,,2008-02-20,2008-05-03 22:22:00,7.52,4.0,1431.0
CarinaLuna,4845164,13,21,7,0,12,49.44,Female,,1998-09-05,,2015-08-30,2017-12-28 10:55:00,9.13,15.0,2978.0
K_P,6553594,32,419,15,3,122,181.52,Male,India,1998-02-06,,2017-09-13,2018-05-14 22:22:07,9.05,140.0,11019.0
LyannaStark,167812,14,39,17,14,87,29.12,Female,"Sofia, Bulgaria",1989-09-25,,2009-04-07,2017-04-18 18:07:00,7.7,10.0,1771.0
xXsim00Xx,3791941,4,294,4,2,60,63.33,Male,New South Wales,1998-02-01,,2014-05-22,1900-04-26 04:34:00,7.72,4.0,3860.0
Kyousuke,4663748,1,25,3,22,17,10.2,Male,"Buenos Aires, Argentina",2001-01-13,,2015-06-08,1900-03-10 11:34:00,6.98,0.0,637.0
Redylo,3849091,66,394,3,91,80,89.47,Unknown,,,,2014-06-17,2018-05-18 11:01:41,4.25,39.0,5276.0
Eab1990,149806,35,284,180,0,160,44.38,Male,,1990-06-11,,2009-02-14,2015-08-07 09:14:00,7.36,0.0,2670.0
magedgamed,4511507,14,1166,212,30,140,285.85,Male,"Cairo, Egypt",1997-02-12,,2015-03-21,2018-05-16 22:45:43,7.48,211.0,17031.0
edwardf,120128,0,52,2,1,6,35.31,Male,"Pelotas,Brasil",1993-02-07,,2008-12-03,2017-09-25 12:02:00,5.96,0.0,2166.0
diordiah,935,21,171,5,80,5,61.38,Female,"Chester, California",1985-09-02,,2006-10-10,2017-10-13 22:04:00,6.03,0.0,3725.0
saphireninja,65640,7,14,6,2,9,6.82,Female,Canada,,,2008-06-03,2009-08-16 19:57:00,8.79,4.0,480.0
ShinyShinigami,4420327,45,443,4,0,1450,160.69,Male,Justinside a Reality Marble,2000-10-05,,2015-01-15,2018-05-18 05:27:46,6.88,7.0,9793.0
Tyricky,5749381,1,20,1,0,43,7.44,Male,014,,,2016-10-05,1900-05-13 12:19:00,9.8,2.0,459.0
Chocostars,3091701,71,129,23,7,97,75.94,Female,,,,2013-08-26,1900-05-08 08:05:00,8.09,0.0,4393.0
Gigikasp,5273253,9,256,4,11,82,79.25,Female,Brazil,,,2016-03-19,1900-05-16 16:10:00,7.16,0.0,4899.0
Unwind,136418,17,276,0,6,57,129.04,Male,,1993-08-19,,2009-01-18,1900-04-11 20:54:00,8.58,117.0,7886.0
demitel,130421,1,182,0,1,0,104.8,Male,,,,2009-01-03,2014-10-11 10:43:00,6.93,0.0,6188.0
geauxtiger1,1024243,4,23,0,0,1,8.99,Male,,1995-10-13,,2011-11-27,2014-10-04 19:59:00,8.76,0.0,539.0
SenpajBiju,5285183,18,166,4,8,41,95.75,Male,United Kingdom,2000-07-16,,2016-03-24,2018-05-17 13:08:00,8.35,0.0,5757.0
Tahretsim,2616411,27,257,9,71,99,116.53,Unknown,,,,2013-05-24,1900-05-10 12:16:00,7.86,0.0,6861.0
saligkaros,4659984,0,235,1,0,0,75.75,Male,,,,2015-06-06,1900-03-29 11:57:00,7.74,0.0,4529.0
anime_fan_800,29393,18,121,13,1,300,86.15,Male,Kansas,1985-01-01,,2008-01-03,2014-03-24 18:54:00,7.86,155.0,4784.0
shiftyichi,3583175,10,152,20,2,31,58.21,Unknown,,,,2014-02-18,2014-02-18 06:12:00,7.28,0.0,3418.0
LeakoSuzuki,1560065,2,30,3,3,24,15.6,Female,,2000-05-12,,2012-09-29,2014-08-21 01:49:00,8.0,2.0,927.0
WhatsUpWitches,5158638,6,63,5,0,20,58.54,Male,"Atlanta, Georgia",1996-05-01,,2016-01-26,1900-05-14 17:53:00,8.16,4.0,3488.0
HotDogLoli,6586592,10,51,5,2,12,26.66,Male,,1935-01-30,,2017-09-26,2018-05-18 01:28:04,8.01,12.0,1573.0
Kuba747,4938576,16,123,12,5,193,37.15,Male,,1999-06-02,,2015-10-16,1900-05-11 13:30:00,7.4,13.0,2175.0
Wizzaroo,317746,3,74,14,60,70,64.92,Male,Portugal,1996-01-02,,2010-04-17,2015-11-02 15:10:00,7.57,4.0,3866.0
IHeartRainbows44,5385981,1,118,11,18,11,24.74,Unknown,,,,2016-05-04,2018-05-18 05:28:10,4.14,0.0,1567.0
Tracy_Zski,272142,7,122,15,52,28,34.69,Female,Florida,,,2009-12-21,2010-01-29 07:49:00,6.69,0.0,1967.0
pim,57779,7,417,7,14,84,119.29,Female,what do you want,1930-10-08,,2008-05-03,2018-05-18 11:28:12,6.45,37.0,7068.0
Keval91,400823,6,180,1,4,47,98.05,Unknown,,,,2010-10-27,1900-05-07 00:46:00,6.89,0.0,5819.0
Vins,84714,2,222,12,41,25,83.15,Male,,,,2008-08-10,2016-11-20 14:53:00,7.48,2.0,4771.0
Zrockerstrawhat,3234855,12,47,3,1,24,55.55,Male,,1997-06-29,,2013-10-08,2016-05-02 06:20:00,8.69,12.0,3264.0
Azula_Yatzugami,4554438,139,271,55,5,230,44.08,Female,,1989-05-09,,2015-04-11,1900-05-16 05:40:00,8.91,27.0,2690.0
Tekiru,260546,2,39,9,0,5,11.97,Female,,,,2009-11-19,2012-08-21 13:40:00,8.44,6.0,722.0
Seishuku,109554,16,177,25,32,33,88.72,Male,"Malbork, Poland",1988-04-12,,2008-10-29,1900-05-11 06:34:00,7.36,0.0,5288.0
Estebanrojas,5348148,15,137,0,4,20,32.56,Unknown,,,,2016-04-17,1900-05-16 00:18:00,7.45,0.0,1982.0
saeyoungwife,5684632,12,151,20,31,40,67.38,Unknown,,,,2016-09-09,1900-05-09 14:29:00,7.51,0.0,4154.0
Rorek,1941146,21,1105,6,0,74,153.82,Male,"Zabrze, Poland",,,2012-12-24,2018-05-17 11:58:00,7.94,0.0,9560.0
aimeetron,340650,6,27,1,0,3,16.89,Female,Southern California,,,2010-06-12,2011-01-04 22:35:00,8.89,0.0,987.0
siscorevolution,58011,8,63,2,8,26,35.02,Unknown,,,,2008-05-04,2017-10-25 18:06:00,8.08,0.0,2050.0
VestedChaos144,252023,3,129,7,0,31,49.27,Male,,,,2009-10-28,2011-02-20 18:08:00,8.78,0.0,2833.0
Kryptonik,3793833,18,269,49,4,2,122.05,Male,"Los Angeles, California",,,2014-05-23,1900-05-16 08:56:00,10.0,0.0,7319.0
z435363443,498328,14,63,3,10,145,24.28,Unknown,,,,2011-06-13,2011-09-24 11:02:00,6.83,0.0,1454.0
Roxs,1525261,0,61,1,1,25,23.01,Female,"Caracas, Venezuela",1995-11-01,,2012-09-20,1900-03-01 07:15:00,8.26,0.0,1352.0
LoveLess19,1394131,5,516,2,1,9,181.65,Unknown,,,,2012-07-13,2015-09-29 22:19:00,8.06,0.0,10734.0
vorex,378812,5,70,0,0,17,36.8,Unknown,France,,,2010-09-03,2013-11-01 04:01:00,7.95,1.0,2172.0
Gor3byss333,2324117,6,46,27,14,67,20.45,Male,,1999-10-09,,2013-03-19,2017-09-25 15:13:00,8.59,0.0,1261.0
PrinceRen,54286,9,46,10,8,27,25.04,Male,the Netherlands,1992-01-01,,2008-04-19,2015-06-16 01:08:00,7.44,4.0,1440.0
EvilMink,7028,24,450,5,3,0,142.37,Unknown,,,,2007-07-07,2010-05-18 13:53:00,7.41,0.0,8389.0
nitewing34,89220,72,271,67,3,132,95.23,Male,"Honolulu, Hawaii",1973-12-20,,2008-08-26,2017-08-07 00:29:00,7.29,39.0,5550.0
ChicoDj_,6658717,17,14,1,16,9,11.55,Male,"Americana, São paulo",2006-09-03,,2017-10-23,1900-04-30 11:20:00,7.0,0.0,693.0
pro_devel,5232217,102,183,6,2,62,235.25,Male,,1999-12-08,,2016-02-29,1900-05-08 22:39:00,8.47,0.0,14197.0
AnimeDude201,1709713,3,182,8,0,90,49.29,Male,,1993-04-19,,2012-10-31,1900-05-05 22:47:00,7.79,0.0,2992.0
brunomp,4437072,2,133,0,0,7,68.82,Male,"Pernambuco, Brasil",1996-09-29,,2015-01-21,2018-05-16 20:48:09,8.42,0.0,4066.0
Mukkashi,1425283,13,327,26,23,138,115.47,Male,Saudi Arabia,1996-07-17,,2012-07-29,2018-05-18 01:28:51,7.43,0.0,7030.0
XresonanceX,318001,2,14,3,9,2,10.98,Female,,1997-12-09,,2010-04-18,2010-09-28 23:48:00,9.5,0.0,657.0
Rukawa,21970,26,910,80,179,19,348.78,Male,"Marseille, Universe",2019-06-08,,2007-11-15,2018-05-17 13:41:00,6.64,42.0,21047.0
leSange,297621,48,474,1,32,31,98.49,Male,Ukraine,1990-03-02,,2010-02-22,2018-05-17 08:12:00,7.43,1.0,5666.0
erky1039,185456,6,18,0,0,12,8.28,Male,,1993-09-06,,2009-05-23,2014-05-17 16:33:00,9.2,0.0,497.0
iwakuralain,2579371,19,153,15,33,33,40.89,Unknown,,,,2013-05-16,2014-05-21 15:53:00,6.12,0.0,2400.0
Amar,84539,6,726,10,16,34,212.14,Male,Germany,,,2008-08-10,1900-02-04 09:02:00,7.56,12.0,12818.0
Inrolam,5241230,9,219,2,1,158,45.32,Unknown,,,,2016-03-05,1900-05-14 09:33:00,8.28,1.0,2685.0
Mr_Ghost,4809808,2,59,8,3,12,41.74,Unknown,,,,2015-08-12,1900-02-20 19:48:00,9.12,57.0,2412.0
Kaolla,4266,3,92,2,10,5,58.27,Male,"Sherwood, Oregon",1994-09-11,,2007-05-14,1900-04-01 22:51:00,7.88,65.0,3453.0
acr429,97089,29,188,12,39,27,45.36,Unknown,,,,2008-09-21,2014-07-22 23:03:00,9.0,2.0,2685.0
HellBoy,35522,18,562,30,16,125,151.99,Male,"around the world, Geórgia ",1988-10-24,,2008-02-04,1900-03-03 05:28:00,8.59,2.0,9038.0
adi7639,445729,11,50,9,2,50,34.98,Female,,1996-02-10,,2011-02-07,2013-03-17 01:14:00,7.87,6.0,2138.0
Bombersuar1,4696129,0,63,0,0,11,24.35,Male,"Szombathely, Vas, Hungary",1999-10-23,,2015-06-24,2017-06-09 15:47:00,6.89,34.0,1448.0
AtherakhiaDannan,4116831,4,244,4,0,22,56.59,Unknown,Eye Of Terror,,,2014-09-22,1900-05-12 20:10:00,7.85,37.0,3179.0
Dusterbayala,6522,22,183,19,5,96,125.34,Female,,1979-09-12,,2007-06-29,2015-07-13 16:42:00,7.71,177.0,7064.0
codytappen,891377,5,160,3,28,10,66.27,Male,,,,2011-11-06,2018-05-17 13:44:00,7.19,38.0,3923.0
Best-of-Anime,1397853,12,259,0,0,14,81.82,Male,"London,England",1998-12-23,,2012-07-15,2013-02-03 12:33:00,8.96,5.0,4906.0
Oce,1370053,1,257,70,2,205,79.51,Male,"Malang,Indonesia",1996-01-08,,2012-06-29,2016-08-23 21:33:00,6.41,0.0,4827.0
donicila,249192,4,265,1,14,79,71.95,Female,,1992-03-14,,2009-10-21,1900-03-17 04:46:00,7.02,35.0,4326.0
jukugo,16514,88,551,8,4,33,226.9,Male,"Tallahassee, Florida",1988-03-23,,2007-10-09,2015-01-19 15:11:00,5.3,168.0,13365.0
AgehaChan,406417,43,46,29,1,74,19.5,Female,"London, England",1988-01-01,,2010-11-10,2012-03-05 07:09:00,7.25,0.0,1148.0
cardtrick,434725,15,32,3,7,31,18.34,Unknown,I don't think so stalker,,,2011-01-13,2011-08-25 23:28:00,7.2,1.0,1042.0
TornadoTheDragon,3616723,1,530,149,73,26,199.09,Unknown,City of Darkness ,,,2014-03-06,2016-09-11 06:26:00,6.1,9.0,13007.0
Froschfan,43988,20,282,56,17,289,124.57,Female,"C-Town, Sachsen",1989-01-19,,2008-03-19,1900-02-21 04:35:00,8.16,16.0,7209.0
Starwin,91301,14,218,20,2,2,99.49,Male,"Odessa, Texas",1989-05-08,,2008-09-01,1900-04-24 01:21:00,8.78,41.0,5935.0
GlaceStark,4765699,15,225,31,13,497,66.19,Male,,,,2015-07-23,2018-05-18 05:29:26,7.69,0.0,4173.0
ahmi_chan,490057,5,84,6,1,3,41.21,Female,"Nawh, i wont tell you.",,,2011-05-23,2016-01-04 17:19:00,7.52,2.0,2446.0
Tsundora,1084625,4,229,2,49,18,69.32,Male,Moscow,1990-11-16,,2012-01-02,2017-10-31 00:05:00,5.24,1.0,4209.0
ukiyo_,511447,6,212,2,23,7,139.55,Female,,1998-05-20,,2011-07-11,1900-05-11 19:13:00,7.51,102.0,8232.0
MariHeAl,74762,12,372,18,4,382,113.8,Female,Time-Space Administration Bureau,,,2008-07-07,2018-05-17 08:57:00,8.59,16.0,6841.0
shinotenshibara,2113371,19,733,11,0,50,109.12,Female,,1995-09-25,,2013-01-30,2018-05-14 22:23:18,8.33,0.0,7446.0
x_LiluLoveless_x,164098,13,106,12,0,2,70.5,Female,"Mexico, D.F.",,,2009-03-28,2012-01-11 14:34:00,8.93,16.0,4365.0
GDLC,89177,17,554,0,4,27,164.59,Male,,,,2008-08-25,2012-04-20 01:38:00,7.22,28.0,9638.0
deactivatedshio,252352,29,170,13,7,28,74.16,Unknown,,,,2009-10-29,2013-03-01 08:16:00,8.08,7.0,4396.0
FlashFrozen,2171033,32,238,28,0,125,97.6,Male,USA,1994-01-01,,2013-02-12,1900-05-01 20:57:00,6.78,40.0,5550.0
Tujumase,945191,3,52,7,1,9,41.32,Male,"Dallas, Texas",1988-08-26,,2011-11-14,2015-01-02 11:37:00,8.34,16.0,2365.0
nb,63176,9,600,29,83,14,336.88,Male,,,,2008-05-24,2015-04-23 17:45:00,7.19,442.0,20236.0
5hya,4706502,17,122,15,0,101,58.72,Unknown,,,,2015-06-29,2017-09-30 07:11:00,7.91,1.0,3511.0
nad33r,5019437,1,98,57,2,119,39.52,Male,,,,2015-11-28,2018-05-15 23:39:00,8.8,0.0,2398.0
EviPhoenix,3448857,4,71,0,0,16,35.64,Unknown,,,,2014-01-01,2017-10-07 15:08:00,8.26,0.0,2159.0
firedancer,9363,62,60,0,0,0,32.05,Unknown,,,,2007-08-04,2009-05-24 01:32:00,7.77,14.0,1892.0
zlooo,59766,5,702,7,9,34,168.39,Unknown,Russia,,,2008-05-11,2016-03-30 21:13:00,6.97,1.0,10054.0
The_Lordian,6188814,14,195,225,5,2,109.01,Male,Brazil,1994-02-07,,2017-04-17,1900-03-03 16:55:00,7.4,0.0,6714.0
yuki_101191,231006,8,76,0,3,8,34.95,Female,,1991-10-11,,2009-09-06,2012-03-01 16:59:00,7.01,0.0,2076.0
Kristanno,4255795,4,49,0,0,16,8.49,Male,"Bien Hoa city, Vietnam",1998-02-04,,2014-11-15,2015-07-06 22:37:00,9.04,0.0,527.0
Ansaga,20775,25,190,14,29,47,74.76,Male,"Berkeley, California",1987-05-18,,2007-11-07,2011-09-22 08:23:00,7.88,30.0,4470.0
feliciahardy,4463,86,241,36,20,96,251.26,Female,Georgia,1988-08-28,,2007-05-19,2017-10-07 00:22:00,8.54,206.0,18805.0
DreamyEyes,74391,12,71,19,5,18,29.15,Female,,,,2008-07-06,2017-04-28 00:50:00,7.64,0.0,1731.0
aak88,346935,4,111,1,0,721,36.92,Unknown,,,,2010-06-26,2014-08-06 19:38:00,7.54,1.0,2166.0
shaoxiong,171734,2,14,5,1,1,19.31,Male,,,,2009-04-17,2009-07-28 05:36:00,8.04,30.0,1111.0
ms-usagi,1424511,1,27,0,0,0,3.36,Unknown,,1989-01-01,,2012-07-28,2012-08-05 09:38:00,7.93,0.0,270.0
weslleisan,4679108,17,398,255,92,340,94.64,Unknown,Aqui,1996-08-04,,2015-06-16,2018-05-13 18:00:00,7.34,6.0,5948.0
AlexTheRiot,1473307,13,621,27,51,79,143.81,Male,23ba140b12a1e67f8520b15c2d34ad4d,1992-01-13,,2012-08-22,1900-05-14 11:54:00,6.93,1.0,8667.0
kyoto_citizen,431110,18,208,28,2,421,58.95,Female,Portugal,,,2011-01-07,2018-05-16 14:37:00,7.53,1.0,3633.0
Maqad,282202,4,133,8,16,5,52.22,Male,Earth,,,2010-01-13,2014-01-10 08:42:00,7.66,0.0,3141.0
RaeKai7,163505,46,107,28,10,60,54.34,Female,united states,,,2009-03-27,1900-03-30 22:05:00,8.57,0.0,3229.0
dustychain,4870432,2,112,18,26,27,91.62,Male,,1998-01-01,,2015-09-12,1900-05-12 12:02:00,5.23,9.0,5484.0
yggdrizzle,46026,4,294,54,43,26,99.85,Male,florida,,,2008-03-27,2017-11-19 17:20:00,6.38,0.0,6046.0
ra-in,109443,21,230,25,21,7,76.09,Unknown,,1988-01-03,,2008-10-29,2015-06-24 03:10:00,6.53,0.0,4552.0
AwesomeKattyK,7013639,5,11,9,2,17,14.39,Unknown,,,,2018-02-26,1900-02-27 11:32:00,8.35,0.0,868.0
Kayrarara,1089229,10,197,1,1,18,45.08,Unknown,,,,2012-01-04,2012-09-07 11:03:00,7.13,0.0,2668.0
Miss_Elyon,270298,52,180,40,43,154,52.83,Female,,1993-03-27,,2009-12-16,1900-05-15 13:06:00,7.18,0.0,3345.0
Chocolatezz,212154,1,20,0,0,1,17.39,Female,,,,2009-07-23,1900-04-17 01:03:00,8.43,0.0,1030.0
Destruc,5364101,5,57,1,4,18,39.31,Unknown,,,,2016-04-24,2018-05-14 13:54:00,8.17,0.0,2348.0
-y-o-s-h-,145781,2,140,4,0,0,168.04,Female,"Manila, Philippines",,,2009-02-02,1900-03-17 05:25:00,8.79,119.0,10138.0
kennethmusicman,1384947,4,347,0,3,8,110.69,Male,"Imus, Cavite, Philippines",1995-07-14,,2012-07-08,2016-08-14 08:24:00,8.83,0.0,6700.0
Gigacorona,46045,7,326,4,5,21,131.69,Male,,,,2008-03-27,2016-10-05 03:16:00,7.81,0.0,7721.0
Gabriel_Noschang,4528584,16,160,6,32,17,102.32,Male,,,,2015-03-30,1900-05-11 12:30:00,7.66,0.0,6314.0
Bebop,3592461,5,337,14,7,174,69.52,Male,西,,,2014-02-22,2018-05-17 05:19:36,7.26,13.0,4327.0
namiSWN,149817,0,152,4,3,148,69.77,Male,"Israel, Netanya",1988-06-09,,2009-02-14,1900-03-20 03:21:00,9.33,0.0,4092.0
Lifeissohard,5843319,9,163,6,32,88,36.45,Female,,2000-11-01,,2016-11-16,1900-05-06 00:52:00,7.29,0.0,2320.0
haeworlddd,375026,3,66,31,1,225,24.32,Female,narnia,1993-03-06,,2010-08-26,1900-05-16 17:38:00,8.52,11.0,1579.0
Azhazel,5066130,2,44,11,11,60,46.63,Male,,,,2015-12-21,1900-05-11 08:52:00,7.2,0.0,2821.0
Jiraiyan,4543429,6,39,0,0,0,18.15,Male,New York,1987-02-18,,2015-04-06,2017-02-24 08:28:00,7.32,2.0,1029.0
IoriYagami,83582,3,141,7,4,48,97.09,Male,"Mel Bourguiba, Tunisia",1986-06-20,,2008-08-06,1900-05-15 15:56:00,7.05,8.0,5674.0
parallelhearts,486294,131,895,167,4,1062,137.6,Female,,1993-10-21,,2011-05-13,2017-01-31 00:40:00,7.35,24.0,9897.0
Kittyki,5970070,8,102,17,10,158,33.92,Female,,1997-07-16,,2017-01-10,1900-05-04 13:05:00,7.7,0.0,2078.0
Sirdante,14013,43,372,4,7,27,181.9,Male,"Bilbao, Spain",1987-04-04,,2007-09-18,2013-06-01 16:48:00,6.93,149.0,10887.0
lolbridget,5341448,7,47,6,1,78,15.65,Female,"Vilnius, Lithuania",1999-07-06,,2016-04-15,1900-04-03 00:23:00,8.54,0.0,932.0
myungyare,3771925,33,260,19,39,56,90.66,Female,"SP, Brazil",1994-10-08,,2014-05-12,1900-05-06 21:19:00,7.97,0.0,5491.0
ValeraN,500649,10,47,10,2,63,18.31,Female,,1996-07-28,,2011-06-19,2018-05-18 11:10:27,8.4,0.0,1179.0
Tofs,82645,8,27,4,0,24,9.03,Female,"Stockholm, Sweden",1993-06-10,,2008-08-04,2015-08-03 03:40:00,8.57,9.0,531.0
Kriegsmarine,336040,3,470,1,30,0,108.73,Male,"bangkok , thailand",,,2010-06-02,1900-03-03 04:28:00,7.58,0.0,6512.0
reddcat,37325,20,199,6,37,56,116.65,Female,Philippines,,,2008-02-13,1900-05-12 07:13:00,8.19,9.0,6991.0
kendolli,300808,33,217,2,14,100,82.87,Non-Binary,"Wonderland, USA",1990-11-11,,2010-03-03,2017-01-30 03:14:00,6.88,2.0,4849.0
WishMeLuck,320842,7,219,6,0,0,66.24,Male,,,,2010-04-25,2015-08-01 11:14:00,6.84,19.0,3892.0
Remmirath,536391,32,334,37,42,37,85.8,Female,The Shire,,,2011-08-05,1900-05-16 20:02:00,7.78,0.0,5526.0
Artistichooves,4457732,12,144,2,11,403,29.54,Female,Belgium,1993-01-31,,2015-02-06,2017-10-24 11:52:00,8.38,6.0,1744.0
Depraved-Kun,5356466,18,52,3,6,113,38.16,Unknown,behind you,,,2016-04-21,1900-05-02 15:24:00,7.75,0.0,2340.0
